S No,Video url,Thumbnail,Title,Views,Published Time
11,https://www.youtube.com/watch?v=4aLdi_2rS3M,https://i.ytimg.com/vi/4aLdi_2rS3M/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBxrw9i5qbjT_J0F9yKTZcVpQpoDg,b'NPTEL  Domains and Domain Scholars | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',456,2 months ago
12,https://www.youtube.com/watch?v=zyzSmLoWSJU,https://i.ytimg.com/vi/zyzSmLoWSJU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCvhBac5oJc42L0OfNyDZxHVbW3lQ,b'Credit Transfer for students from NPTEL SWAYAM courses | NPTEL Awareness E-Workshop | Ms. Bharathi |',1.4K,2 months ago
13,https://www.youtube.com/watch?v=wd1h-MBaZWI,https://i.ytimg.com/vi/wd1h-MBaZWI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCM8aoPZwH7bQObqYa4oIfm_XMrNw,b'NPTEL Internships for course toppers | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',4K,2 months ago
14,https://www.youtube.com/watch?v=tMnlo-P3IzQ,https://i.ytimg.com/vi/tMnlo-P3IzQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLB3NkrR2VsmdIAAo9rl-YTzrfOAuQ,"b'NPTEL - Types of courses, institutes, statistics | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL'",389,2 months ago
15,https://www.youtube.com/watch?v=rEha9Vmlv1U,https://i.ytimg.com/vi/rEha9Vmlv1U/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLC7Jg4AWfSiG6Rg6Ox0EO7mqZsy6A,b'NPTEL support for SPOCs to attend conferences | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',124,2 months ago
16,https://www.youtube.com/watch?v=khihiANS6O8,https://i.ytimg.com/vi/khihiANS6O8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCjqSYr8Z8C3ZS5khK1IgwuXAIwRw,b'SWAYAM NPTEL Local Chapters - Introduction | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',234,2 months ago
17,https://www.youtube.com/watch?v=hvRO1T3Tpo0,https://i.ytimg.com/vi/hvRO1T3Tpo0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBTYk87qoDTX7nXmu-OLb3q5zmFeQ,b'Learning never stops at NPTEL | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',137,2 months ago
18,https://www.youtube.com/watch?v=gJU2gDG9DPY,https://i.ytimg.com/vi/gJU2gDG9DPY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCIWFNQTbuaTh4DMJsmmyMhUOcXjA,b'NPTEL Local Chapter SPOC login | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',141,2 months ago
19,https://www.youtube.com/watch?v=eoX4S7B47zQ,https://i.ytimg.com/vi/eoX4S7B47zQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLCfGN_T1IoiBqLgKrawd2_ZqJJhvQ,b'NPTEL Industry Associates | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',267,2 months ago
20,https://www.youtube.com/watch?v=eR1Ou3UsI7s,https://i.ytimg.com/vi/eR1Ou3UsI7s/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLBKKEcXoC9Yfm-lx-fF6hue_RsR2A,b'NPTEL Local Chapter - benefits | NPTEL Awareness E-Workshop | Ms. Bharathi | NPTEL',286,2 months ago
